LotisLeft	Lot_per	Lot_mon	Lot_color	Sure_mon	dist	response	RT
0	0	13	blue	5	wide	['f']	2.1521342000050936
1	0	13	blue	5	wide	['j']	2.3452195999998366
0	0	13	blue	5	wide	['f']	0.983138900002814
0	90	13	blue	5	wide	['j']	2.942951000004541
1	80	13	blue	5	wide	['f']	1.5996383000019705
1	90	13	blue	5	wide	['f']	1.638604400010081
0	10	13	blue	5	wide	['f']	4.1307261000038125
1	80	13	blue	5	wide	['f']	1.8958475999970688
1	100	13	blue	5	wide	['f']	1.261985299992375
0	10	13	blue	5	wide	['f']	1.4375716000067769
1	0	13	blue	5	wide	['j']	1.1771280999964802
0	100	13	blue	5	wide	['j']	1.1965626000019256
0	10	13	blue	5	wide	['f']	1.1821945999981835
1	90	13	blue	5	wide	['f']	1.329452300007688
0	90	13	blue	5	wide	['j']	1.2696589999977732
0	10	13	blue	5	wide	['f']	1.0797999000060372
1	100	13	blue	5	wide	['f']	1.4186563999974169
1	20	13	blue	5	wide	['j']	2.2746246000024257
0	100	13	blue	5	wide	['j']	1.0988056999922264
1	20	13	blue	5	wide	['j']	1.0796819000097455
1	90	13	green	5	Skew	['f']	2.54599079999025
0	90	13	green	5	Skew	['j']	1.8099176999967312
0	70	13	green	5	Skew	No_resp	10
1	80	13	green	5	Skew	['f']	1.7426421999989543
1	70	13	green	5	Skew	['j']	1.9416558999946576
0	100	13	green	5	Skew	['j']	1.1201724999991711
0	80	13	green	5	Skew	['j']	1.5572650999965845
1	80	13	green	5	Skew	['f']	1.2046238999901109
1	90	13	green	5	Skew	['f']	1.0066478999942774
1	80	13	green	5	Skew	['f']	1.1956887999986066
0	60	13	green	5	Skew	['f']	1.907410899992101
0	100	13	green	5	Skew	['j']	1.0360129000036975
0	90	13	green	5	Skew	['j']	1.269042999992962
1	80	13	green	5	Skew	['f']	1.37981120000768
0	80	13	green	5	Skew	['j']	1.7838060000067344
0	80	13	green	5	Skew	['j']	0.9599442000035197
1	70	13	green	5	Skew	['f']	1.3633387000008952
1	80	13	green	5	Skew	['f']	0.7739472999965074
1	70	13	green	5	Skew	['f']	1.2964942999969935
0	60	13	green	5	Skew	['f']	1.7599125999986427
1	50	13	red	5	Narrow	['j']	2.2909521000110544
0	50	13	red	5	Narrow	['f']	1.4220174999936717
1	60	13	red	5	Narrow	['j']	1.6976086999929976
1	60	13	red	5	Narrow	['j']	1.3364945000066657
0	50	13	red	5	Narrow	['f']	1.1847545000055106
0	50	13	red	5	Narrow	['f']	0.9642388999927788
0	70	13	red	5	Narrow	['j']	1.3539828000066336
1	50	13	red	5	Narrow	['j']	1.0734749999974156
0	30	13	red	5	Narrow	['f']	1.702196099999128
0	40	13	red	5	Narrow	['f']	1.5557326999987708
0	40	13	red	5	Narrow	['f']	2.4787634999956936
1	60	13	red	5	Narrow	['j']	1.877176400012104
1	30	13	red	5	Narrow	['j']	1.1194961000001058
1	60	13	red	5	Narrow	['j']	1.9402442000136944
1	50	13	red	5	Narrow	['j']	2.153575499993167
0	40	13	red	5	Narrow	['f']	1.133825800003251
1	50	13	red	5	Narrow	['j']	0.845050000003539
0	50	13	red	5	Narrow	['f']	0.8838477999961469
0	40	13	red	5	Narrow	['f']	0.9632322999968892
1	70	13	red	5	Narrow	['f']	1.6523308000032555
